name,rtg,oil_water,fish_type,country,brand,salt,sugar,sauce,boneless,skinless,pieces,size_g,size_oz,smoked,grilled,citrus,garlic,chili_pepper,tomato,dairy,gluten,organic,kosher_cert,servings,sodium_per_serving,rda_sodium
Albert Ménès Boneless Sardines in Organic Extra Virgin Olive Oil,15.5,Olive Oil,sardines,France,Albert Ménès,Yes,No,None,Yes,No,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,,,
"Albert Ménès Vintage Whole Anchovies, 2018",19,Olive Oil,anchovy,France,Albert Ménès,Yes,No,None,No,No,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,,,
Alkorta Cod Fillets in Olive Oil,19,Olive Oil,cod,Spain,Alkorta,Yes,No,None,Yes,Yes,Unstated,200,7.0,No,No,No,No,No,No,No,No,No,None,2.5,370,15
Alshark Moroccan Sardines in Oil,3.25,Vegetable Oil,sardines,Morocco,Alshark,Yes,No,None,No,No,Unstated,120,4.23,Yes,No,No,No,No,No,No,No,No,None,1,603,25
Alshark Moroccan Sardines in Spicy Oil,3.25,Vegetable Oil,sardines,Morocco,Alshark,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,Yes,No,No,No,Yes,No,No,No,No,None,1,603,25
Angelo Parodi Boneless & Skinless Sardine Fillets in Olive Oil,6.75,Olive Oil,sardines,Morocco,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,105,3.7,No,No,No,No,No,No,No,No,No,None,1,300,10
"Angelo Parodi Grated Mullet Bottarga (Salted, Dried Roe)",8.5,None,mullet,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,20,0.7,No,No,No,No,No,No,No,No,No,None,,,10
Angelo Parodi Mackerel Filets in Olive Oil,6.5,Olive Oil,mackerel,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,330,14
Angelo Parodi Mackerel Filets in Olive Oil with Ginger and Chili Pepper,6.5,Olive Oil,mackerel,Italy,Angelo Parodi,Yes,No,"Ginger, Chili Pepper",Yes,Yes,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,330,14
Angelo Parodi Portuguese Sardines in Olive Oil,5,Olive Oil,sardines,Italy,Angelo Parodi,Yes,No,None,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,420,18
Angelo Parodi Salmon al Naturale (in water),12.5,Water,salmon,Italy,Angelo Parodi,Yes,No,None,Yes,Yes,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,1,140,6
Angelo Parodi Spicy Portuguese Sardines in Olive Oil,5,Olive Oil,sardines,Italy,Angelo Parodi,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,None,1,420,18
Angelo Parodi Trancio di Tonno all'Olio d'Oliva (Yellowfin Tuna Loin Slice in Olive Oil),13.5,Olive Oil,tuna,Italy,Angelo Parodi,Yes,No,None,,,,150,5.29,No,No,No,No,No,No,No,No,No,None,1,420,18
Angelo Parodi Ventresca di Tonno in Olio d'Oliva (Yellowfin Ventresca in Olive Oil),17,Olive Oil,tuna,Italy,Angelo Parodi,Yes,No,None,,,,115,4.06,No,No,No,No,No,No,No,No,No,None,1,420,18
Appel Herring Fillets in Paprika Sauce,6.5,Canola Oil,herring,Germany,Appel,Yes,Yes,"Papkrika, Tomato",,,,200,7.05,No,No,No,No,No,Yes,Yes,No,No,None,2.5,410,16
Appel Herring Fillets in Tomato Sauce,6.5,Canola Oil,herring,Germany,Appel,Yes,Yes,Tomato,,,,200,7.05,No,No,No,No,No,Yes,No,No,No,None,2.5,390,17
"Appel Smoked Trout Fillets, Skinless in Canola Oil",9.5,Canola Oil,trout,Germany,Appel,Yes,No,None,,,,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,490,21
"Ar de Arte Wild Codfish in EVOO with Garlic and Black Pepper, Fernando Rei Edition",18.5,Extra Virgin Olive Oil,cod,Spain,Ar de Arte,Yes,No,"Garlic, black pepper",,,,110,3.88,No,No,No,Yes,No,No,No,No,No,None,1,270,10
"Ar de Arte Cockles in Brine 30/40, Fernando Rei Edition",46,Salt Brine,cockles,Spain,Ar de Arte,Yes,No,None,Yes,Yes,30/40,110,3.88,No,No,No,No,No,No,No,No,No,None,1,370,15
"Ar de Arte Fried Mussels in Escabeche 7/10, Fernando Rei Edition",28,"Olive Oil, Wine Vinegar",mussels,Spain,Ar de Arte,Yes,No,Escabeche,Yes,Yes,7/10,110,3.88,No,No,No,Yes,Not Specified,No,No,No,No,None,1,400,15
"Ar de Arte Razor Clams in Brine, Fernando Rei Edition",33.5,Salt Brine,razor clam,Spain,Ar de Arte,Yes,No,None,Yes,Yes,8,110,3.88,No,No,No,No,No,No,No,No,No,None,1,370,18
Ar de Arte Scallops with Garlic and Chili Pepper (con Allo e Guindilla)),28,Olive Oil,scallops,Spain,Ar de Arte,Yes,No,"Chili, garlic",,,Unstated,110,3.9,No,No,No,Yes,Yes,No,No,No,No,None,1,240,10
"Ar de Arte Small Sardines in Olive Oil 14/16, Fernando Rei Edition",23,Olive Oil,sardines,Spain,Ar de Arte,Yes,No,none,No,no,14/16,110,3.88,No,No,No,No,No,No,No,No,No,None,1,390,18
"Ar de Arte Small Scallops in Vieira Sauce 12/16, Fernando Rei Edition",24.5,Olive Oil,scallops,Spain,Ar de Arte,Yes,No,Tomato,yes,yes,12/16,110,3.88,No,No,No,No,No,Yes,No,No,No,None,1,520,25
Arroyabe Anchovy Fillets in Olive Oil,8,Olive Oil,anchovy,Spain,Arroyabe,Yes,No,None,Yes,Yes,Unstated,50,1.8,No,No,No,No,No,No,No,No,No,None,2,950,42
Arroyabe Bonito del Norte (Albacore) in Olive Oil,9.5,Olive Oil,tuna,Spain,Arroyabe,Yes,No,None,,,,111,4.0,No,No,No,No,No,No,No,No,No,None,1,290,13
Arroyabe Ventresca of Bonito del Norte (Albacore) in Olive Oil,23,Olive Oil,tuna,Spain,Arroyabe,Yes,No,None,,,,111,3.9,No,No,No,No,No,No,No,No,No,None,1.5,218,9
Artesanos Alalunga Cocochas de Merluza Europea (European Hake Cheeks) in Olive Oil 6/8,37,Extra Virgin Olive Oil,hake,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,134,4.73,No,No,No,No,No,No,No,No,No,None,1.34,200,?
Artesanos Alalunga Cuttlefish In Its Own Ink,23,Extra Virgin Olive Oil,cuttlefish,Spain,Artesanos Alalunga,Yes,No,Ink,,,Unstated,138,4.87,No,No,No,Yes,No,No,No,No,No,None,1.38,160,?
Artesanos Alalunga European Hake in Salsa Verde,24,Olive Oil,hake,Spain,Artesanos,Yes,No,Salsa Verde,,,,138,4.87,No,No,No,Yes,No,No,No,No,No,None,1,280,
Artesanos Alalunga European Hake Loins in Olive Oil (Lomos de Merluza Europea),24,Extra Virgin Olive Oil,hake,Spain,Artesanos Alalunga,Yes,No,None,Yes,Yes,Unstated,138,4.87,No,No,No,No,No,No,No,No,No,None,1.38,200,?
Artesanos Alalunga Mackerel in Olive Oil,20,Olive Oil,mackerel,Spain,Artesanos,Yes,No,None,,,,138,4.87,No,No,No,No,No,No,No,No,No,None,1,200,
Artesanos Alalunga Sea Bass with Olive Oil,32,Olive Oil,sea bass,Spain,Artesanos,Yes,No,None,,,,138,4.87,No,No,No,No,No,No,No,No,No,None,1,190,
Artesanos Alalunga Sea Bass with Pesto,32,Olive Oil,sea bass,Spain,Artesanos,Yes,Yes,Basil Pesto,,,,138,4.87,No,No,No,Yes,No,No,No,No,No,None,1,95,
Artesanos Alalunga Tarantelo de Bonito del Norte in Extra Virgin Olive Oil,27,Extra Virgin Olive Oil,tuna,Spain,Artesanos Alalunga,Yes,No,None,,,,138,4.87,No,No,No,No,No,No,No,No,No,None,0.88,500,?
Artesanos Bonito del Norte (Albacore) Loins in Tomato Sauce,23,Olive Oil,tuna,Spain,Artesanos,Yes,Yes,Tomato,,,,138,4.87,No,No,No,Yes,Yes,Yes,No,No,No,None,1,280,
Artesanos Bonito del Norte (Albacore) Loins with Onion and Green Peppers,23,Olive Oil,tuna,Spain,Artesanos,Yes,No,"Pepper, Onion",,,,138,4.87,No,No,No,No,No,No,No,No,No,None,1,280,
AS do MAR Ventresca of Yellowfin,25,Olive Oil,tuna,Italy,AS do MAR,Yes,No,None,,,,125,4.4,No,No,No,No,No,No,No,No,No,None,1,310,14
AS do MAR Yellowfin Loin,12.5,Olive Oil,tuna,Italy,AS do MAR,Yes,No,None,,,,200,7.05,No,No,No,No,No,No,No,No,No,None,1,670,29
Ati Manel Garfish in Olive Oil,8,Olive Oil,garfish,Portugal,Ati Manel,Yes,No,None,,,,120,4.2,No,No,No,No,No,No,No,No,No,None,1,85,10
